CPF,NOME,MES_ANO,GASTO_TOTAL,LIMITE_DE_COMPRA,DIFERENCA
3623344710,"Marcos Nougeuira",16-08,23339,22000,11%
492472718,"Eduardo Jorge",16-08,22137,9500,23%
94387575700,"Walber Lontra",16-08,22553,12000,19%
2600586709,"César Teixeira",16-08,24357,22000,11%
8502682733,"Valdeci da Silva",16-09,19062,19000,10%
492472718,"Eduardo Jorge",16-09,21635,9500,23%
2600586709,"César Teixeira",16-09,22068,22000,10%
94387575700,"Walber Lontra",16-09,21389,12000,18%
5576228758,"Petra Oliveira",16-09,19413,16000,12%
7771579779,"Marcelo Mattos",16-09,24243,20000,12%
8502682733,"Valdeci da Silva",16-10,21805,19000,11%
5840119709,"Gabriel Araujo",16-10,25004,21000,12%
492472718,"Eduardo Jorge",16-10,19138,9500,20%
5576228758,"Petra Oliveira",16-10,22091,16000,14%
19290992743,"Fernando Cavalcante",16-10,20788,20000,10%
94387575700,"Walber Lontra",16-10,19604,12000,16%
492472718,"Eduardo Jorge",16-11,21840,9500,23%
94387575700,"Walber Lontra",16-11,24042,12000,20%
3623344710,"Marcos Nougeuira",16-11,22376,22000,10%
5840119709,"Gabriel Araujo",16-11,21591,21000,10%
8502682733,"Valdeci da Silva",16-11,24817,19000,13%
7771579779,"Marcelo Mattos",16-11,20380,20000,10%
19290992743,"Fernando Cavalcante",16-11,20688,20000,10%
5576228758,"Petra Oliveira",16-11,20655,16000,13%
5840119709,"Gabriel Araujo",16-12,23205,21000,11%
19290992743,"Fernando Cavalcante",16-12,22869,20000,11%
5576228758,"Petra Oliveira",16-12,22124,16000,14%
492472718,"Eduardo Jorge",16-12,26030,9500,27%
94387575700,"Walber Lontra",16-12,19606,12000,16%
8502682733,"Valdeci da Silva",16-12,19861,19000,10%
5648641702,"Paulo César Mattos",16-12,22561,22000,10%
492472718,"Eduardo Jorge",17-01,19687,9500,21%
94387575700,"Walber Lontra",17-01,24079,12000,20%
5576228758,"Petra Oliveira",17-01,22295,16000,14%
8502682733,"Valdeci da Silva",17-01,22720,19000,12%
5840119709,"Gabriel Araujo",17-01,21383,21000,10%
5648641702,"Paulo César Mattos",17-01,23847,22000,11%
7771579779,"Marcelo Mattos",17-01,21143,20000,11%
19290992743,"Fernando Cavalcante",17-01,24447,20000,12%
8502682733,"Valdeci da Silva",17-02,21501,19000,11%
492472718,"Eduardo Jorge",17-02,17633,9500,19%
7771579779,"Marcelo Mattos",17-02,20631,20000,10%
3623344710,"Marcos Nougeuira",17-02,23549,22000,11%
19290992743,"Fernando Cavalcante",17-02,21074,20000,11%
5576228758,"Petra Oliveira",17-02,18848,16000,12%
94387575700,"Walber Lontra",17-02,20803,12000,17%
5648641702,"Paulo César Mattos",17-03,23396,22000,11%
19290992743,"Fernando Cavalcante",17-03,20097,20000,10%
8502682733,"Valdeci da Silva",17-03,19694,19000,10%
7771579779,"Marcelo Mattos",17-03,23240,20000,12%
94387575700,"Walber Lontra",17-03,23046,12000,19%
5576228758,"Petra Oliveira",17-03,20615,16000,13%
492472718,"Eduardo Jorge",17-03,20552,9500,22%
5840119709,"Gabriel Araujo",17-04,25080,21000,12%
7771579779,"Marcelo Mattos",17-04,22342,20000,11%
94387575700,"Walber Lontra",17-04,22515,12000,19%
8502682733,"Valdeci da Silva",17-04,19405,19000,10%
5576228758,"Petra Oliveira",17-04,20563,16000,13%
3623344710,"Marcos Nougeuira",17-04,22924,22000,10%
492472718,"Eduardo Jorge",17-04,20483,9500,22%
5576228758,"Petra Oliveira",17-05,22179,16000,14%
19290992743,"Fernando Cavalcante",17-05,20285,20000,10%
8502682733,"Valdeci da Silva",17-05,20973,19000,11%
5840119709,"Gabriel Araujo",17-05,21347,21000,10%
7771579779,"Marcelo Mattos",17-05,21135,20000,11%
3623344710,"Marcos Nougeuira",17-05,22745,22000,10%
5648641702,"Paulo César Mattos",17-05,24905,22000,11%
94387575700,"Walber Lontra",17-05,19936,12000,17%
492472718,"Eduardo Jorge",17-05,22807,9500,24%
19290992743,"Fernando Cavalcante",17-06,20034,20000,10%
492472718,"Eduardo Jorge",17-06,20231,9500,21%
94387575700,"Walber Lontra",17-06,19818,12000,17%
7771579779,"Marcelo Mattos",17-06,21039,20000,11%
5576228758,"Petra Oliveira",17-06,20499,16000,13%
8502682733,"Valdeci da Silva",17-07,22095,19000,12%
19290992743,"Fernando Cavalcante",17-07,22221,20000,11%
94387575700,"Walber Lontra",17-07,23055,12000,19%
5576228758,"Petra Oliveira",17-07,21197,16000,13%
492472718,"Eduardo Jorge",17-07,19392,9500,20%
1471156710,"Érica Carvalho",17-07,26215,24500,11%
5840119709,"Gabriel Araujo",17-07,22232,21000,11%
5648641702,"Paulo César Mattos",17-07,24096,22000,11%
94387575700,"Walber Lontra",17-08,23442,12000,20%
7771579779,"Marcelo Mattos",17-08,22850,20000,11%
2600586709,"César Teixeira",17-08,23100,22000,10%
492472718,"Eduardo Jorge",17-08,24329,9500,26%
5576228758,"Petra Oliveira",17-08,21900,16000,14%
5648641702,"Paulo César Mattos",17-08,22399,22000,10%
8502682733,"Valdeci da Silva",17-08,25008,19000,13%
5576228758,"Petra Oliveira",17-09,18354,16000,11%
492472718,"Eduardo Jorge",17-09,21744,9500,23%
3623344710,"Marcos Nougeuira",17-09,23179,22000,11%
8502682733,"Valdeci da Silva",17-09,20289,19000,11%
5840119709,"Gabriel Araujo",17-09,21665,21000,10%
94387575700,"Walber Lontra",17-09,22724,12000,19%
7771579779,"Marcelo Mattos",17-09,21589,20000,11%
94387575700,"Walber Lontra",17-10,21698,12000,18%
5840119709,"Gabriel Araujo",17-10,22832,21000,11%
8502682733,"Valdeci da Silva",17-10,22982,19000,12%
492472718,"Eduardo Jorge",17-10,24009,9500,25%
5576228758,"Petra Oliveira",17-10,24339,16000,15%
19290992743,"Fernando Cavalcante",17-10,20818,20000,10%
5648641702,"Paulo César Mattos",17-10,22406,22000,10%
7771579779,"Marcelo Mattos",17-10,20386,20000,10%
492472718,"Eduardo Jorge",17-11,21478,9500,23%
3623344710,"Marcos Nougeuira",17-11,23052,22000,10%
7771579779,"Marcelo Mattos",17-11,21307,20000,11%
19290992743,"Fernando Cavalcante",17-11,23502,20000,12%
5576228758,"Petra Oliveira",17-11,22336,16000,14%
94387575700,"Walber Lontra",17-11,22210,12000,19%
5648641702,"Paulo César Mattos",17-12,22423,22000,10%
7771579779,"Marcelo Mattos",17-12,20070,20000,10%
19290992743,"Fernando Cavalcante",17-12,23259,20000,12%
8502682733,"Valdeci da Silva",17-12,23681,19000,12%
2600586709,"César Teixeira",17-12,22168,22000,10%
492472718,"Eduardo Jorge",17-12,18466,9500,19%
94387575700,"Walber Lontra",17-12,20774,12000,17%
5840119709,"Gabriel Araujo",17-12,23110,21000,11%
5576228758,"Petra Oliveira",17-12,21259,16000,13%
492472718,"Eduardo Jorge",18-01,17528,9500,18%
7771579779,"Marcelo Mattos",18-01,22008,20000,11%
5576228758,"Petra Oliveira",18-01,21619,16000,14%
8502682733,"Valdeci da Silva",18-01,21644,19000,11%
94387575700,"Walber Lontra",18-01,26346,12000,22%
2600586709,"César Teixeira",18-01,23074,22000,10%
3623344710,"Marcos Nougeuira",18-01,22677,22000,10%
19290992743,"Fernando Cavalcante",18-01,23922,20000,12%
8502682733,"Valdeci da Silva",18-02,19673,19000,10%
5576228758,"Petra Oliveira",18-02,19312,16000,12%
3623344710,"Marcos Nougeuira",18-02,22307,22000,10%
492472718,"Eduardo Jorge",18-02,20719,9500,22%
94387575700,"Walber Lontra",18-02,19657,12000,16%
3623344710,"Marcos Nougeuira",18-03,22283,22000,10%
94387575700,"Walber Lontra",18-03,19601,12000,16%
5576228758,"Petra Oliveira",18-03,18130,16000,11%
492472718,"Eduardo Jorge",18-03,20289,9500,21%
